Timestamp,Signal,Ticker,Live Price,Low Target,High Target,Historic Move %,Move Start Date,Move End Date
27-Jun-2026 10:44:57,SELL,ANGELONE.NS,335.25,228.4499969482422,284.20001220703125,24.403596412137325,01-Apr-2026,09-Apr-2026
27-Jun-2026 10:45:02,SELL,KAJARIACER.NS,1196.5999755859375,945.5,1178.0,24.59016393442623,01-Apr-2026,15-Apr-2026
27-Jun-2026 10:45:03,SELL,BOSCHLTD.NS,40440.0,29120.0,37670.0,29.361263736263737,01-Apr-2026,10-Apr-2026
27-Jun-2026 10:45:11,SELL,RADICO.NS,3829.800048828125,2710.0,3365.0,24.169741697416974,10-Apr-2026,20-Apr-2026
27-Jun-2026 10:45:12,SELL,VBL.NS,507.6499938964844,394.42954885778244,474.7457971858535,20.36263473683873,07-Apr-2026,17-Apr-2026
27-Jun-2026 10:52:59,SELL,ANGELONE.NS,335.25,228.4499969482422,284.20001220703125,24.403596412137325,01-Apr-2026,09-Apr-2026
27-Jun-2026 10:53:04,SELL,KAJARIACER.NS,1196.5999755859375,945.5,1178.0,24.59016393442623,01-Apr-2026,15-Apr-2026
27-Jun-2026 10:53:05,SELL,BOSCHLTD.NS,40440.0,29120.0,37670.0,29.361263736263737,01-Apr-2026,10-Apr-2026
27-Jun-2026 10:53:10,SELL,RADICO.NS,3829.800048828125,2710.0,3365.0,24.169741697416974,10-Apr-2026,20-Apr-2026
27-Jun-2026 10:53:10,SELL,VBL.NS,507.6499938964844,394.42954885778244,474.7457971858535,20.36263473683873,07-Apr-2026,17-Apr-2026
